brand,name,model_number,category,sub_category,price_inr,price_usd,warranty,description,full_specifications,unit_of_measure,min_order_quantity,lead_time_days,gst_rate,image_url,needs_review,source_file,data_quality_score
Liberty,Liberty PC6B007BK - wire,PC6B007BK,Computers,Desktop / SFF PC,450.0,5.39,Not Specified,wire,liberty wire,piece,1,14,18,,False,Liberty.csv,80
Liberty,Liberty PC6B025BK - Cable,PC6B025BK,Cables & Connectivity,AV Cable,950.0,11.38,Not Specified,Cable,Liberty Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty AR4074 - 4K Liberty,AR4074,General AV,Needs Classification,17000.0,203.59,Not Specified,4K Liberty,4K Liberty,piece,1,14,18,,True,Liberty.csv,70
Liberty,Liberty HDPMM06F - Wire,HDPMM06F,General AV,Needs Classification,1071.0,12.83,Not Specified,Wire,Liberty Wire,piece,1,14,18,,True,Liberty.csv,50
Liberty,Liberty HDPMM10F - Wire,HDPMM10F,General AV,Needs Classification,1289.0,15.44,Not Specified,Wire,Liberty Wire,piece,1,14,18,,True,Liberty.csv,50
Liberty,Liberty HDPMM15 - Wire,HDPMM15,General AV,Needs Classification,3750.0,44.91,Not Specified,Wire,Liberty Wire,piece,1,14,18,,True,Liberty.csv,50
Liberty,Liberty DL-AR-DD - DL-ARDD Universal HDMI Adapter Ring 2.0,DL-AR-DD,Cables & Connectivity,"Connectors, Adapters & Dongles",9700.0,116.17,Not Specified,DL-ARDD Universal HDMI Adapter Ring 2.0,DL-ARDD Universal HDMI Adapter Ring 2.0,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty PC6ABS005BK - Category 6A F/UTP shielded stranded patch cable,PC6ABS005BK,Cables & Connectivity,AV Cable,899.0,10.77,Not Specified,Category 6A F/UTP shielded stranded patch cable,Category 6A F/UTP shielded stranded patch cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty PCAABS010BK,PCAABS010BK,Computers,Desktop / SFF PC,1133.0,13.57,Not Specified,,Liberty,piece,1,14,18,,False,Liberty.csv,80
Liberty,Liberty PCABS015BK,PCABS015BK,Computers,Desktop / SFF PC,1238.0,14.83,Not Specified,,Liberty,piece,1,14,18,,False,Liberty.csv,80
Liberty,Liberty PPC6ABS050GY,PPC6ABS050GY,Computers,Desktop / SFF PC,11600.0,138.92,Not Specified,,Liberty,piece,1,14,18,,False,Liberty.csv,80
Liberty,Liberty HD28A- - Cables,HD28A-,Cables & Connectivity,AV Cable,24410.0,292.34,Not Specified,Cables,Liberty Cables,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty HD70LS- - DigitaLinx HDMI 2.0 HDBaseT Extension Set,HD70LS-,Signal Management,Extender (TX/RX),21300.0,255.09,Not Specified,DigitaLinx HDMI 2.0 HDBaseT Extension Set,DigitaLinx HDMI 2.0 HDBaseT Extension Set,piece,1,21,18,,False,Liberty.csv,100
Liberty,Liberty USB2-50C - USB2.0 High Speed extension,USB2-50C,General AV,Needs Classification,5900.0,70.66,Not Specified,USB2.0 High Speed extension,Liberty USB2.0 High Speed extension,piece,1,14,18,,True,Liberty.csv,70
Liberty,Liberty USB2-50HWP - USB 2.0 High Speed Extender Host Wallplate,USB2-50HWP,Signal Management,Extender (TX/RX),8500.0,101.8,Not Specified,USB 2.0 High Speed Extender Host Wallplate,USB 2.0 High Speed Extender Host Wallplate,piece,1,21,18,,False,Liberty.csv,100
Liberty,Liberty 24-2P-STAR-BLK - 24 AWG 4 Core Braided Shielded Microphone/Audio Cable,24-2P-STAR-BLK,Cables & Connectivity,Bulk Cable / Wire,84819.0,1015.8,Not Specified,"24 AWG 4 Core Braided Shielded Microphone/Audio Cable with 41- strand tinned copper conductors, 305m spools","24 AWG 4 Core Braided Shielded Microphone/Audio Cable
 with 41- strand tinned copper conductors, 305m spools",spool,1,7,18,,False,Liberty.csv,100
Liberty,Liberty 22-1P-CMP-EZ-BLK - 1000' Black High-Performance EZ-Strip Broadcast Audio 22 AWG 1-Pair Shielded Cable Reel,22-1P-CMP-EZ-BLK,Cables & Connectivity,Bulk Cable / Wire,28762.0,344.46,Not Specified,1000' Black High-Performance EZ-Strip Broadcast Audio 22 AWG 1-Pair Shielded Cable Reel,"1000' Black High-Performance EZ-Strip Broadcast Audio 
22 AWG 1-Pair Shielded Cable Reel",spool,1,7,18,,False,Liberty.csv,100
Liberty,Liberty 22-2C-SH-GRY - 22 AWG 2-Core Foil Shielded Audio/Microphone Cable,22-2C-SH-GRY,Cables & Connectivity,Bulk Cable / Wire,14195.0,170.0,Not Specified,"22 AWG 2-Core Foil Shielded Audio/Microphone Cable with 7 strand annealed bare copper conductors, 305m foot spool","22 AWG 2-Core Foil Shielded Audio/Microphone Cable
with 7 strand annealed bare copper conductors, 305m foot spool",spool,1,7,18,,False,Liberty.csv,100
Liberty,Liberty 22-2P-INDSH-GRY - 22 AWG 2 Pair Individually Shielded Audio/Microphone Cable,22-2P-INDSH-GRY,Cables & Connectivity,Bulk Cable / Wire,24180.0,289.58,Not Specified,"22 AWG 2 Pair Individually Shielded Audio/Microphone Cable with 7 strand annealed bare copper conductors, 305m foot spool","22 AWG 2 Pair Individually Shielded Audio/Microphone Cable 
with 7 strand annealed bare copper conductors, 305m foot spool",spool,1,7,18,,False,Liberty.csv,100
Liberty,Liberty L6ASH-BLK - 23 AWG -4 Pair Shielded CAT 6A (F/UTP) Cable,L6ASH-BLK,Cables & Connectivity,AV Cable,33129.0,396.75,Not Specified,23 AWG -4 Pair Shielded CAT 6A (F/UTP) Cable,23 AWG -4 Pair Shielded CAT 6A (F/UTP) Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty L5-EN-BLK - 24 AWG 4-Pair Unshielded CAT5E (U/UTP) Cable,L5-EN-BLK,Cables & Connectivity,AV Cable,14229.0,170.41,Not Specified,24 AWG 4-Pair Unshielded CAT5E (U/UTP) Cable,24 AWG 4-Pair Unshielded CAT5E (U/UTP) Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty 10-2C-EX - 10 AWG 2 Core OFC - Extra Flex Speaker Cable,10-2C-EX,Audio,Loudspeaker / Speaker,102698.0,1229.92,Not Specified,"10 AWG 2 Core OFC - Extra Flex Speaker Cable, 150m Spool","10 AWG 2 Core OFC - Extra Flex Speaker Cable, 150m Spool",spool,1,21,18,,False,Liberty.csv,100
Liberty,Liberty 12-2C-EX - 12 AWG 2 Core OFC - Extra Flex Speaker Cable,12-2C-EX,Audio,Loudspeaker / Speaker,77249.0,925.14,Not Specified,"12 AWG 2 Core OFC - Extra Flex Speaker Cable ,150m Spool","12 AWG 2 Core OFC - Extra Flex Speaker Cable ,150m Spool",spool,1,21,18,,False,Liberty.csv,100
Liberty,Liberty 14-2C-EX - 14 AWG 2 Core OFC - Extra Flex Speaker Cable,14-2C-EX,Audio,Loudspeaker / Speaker,46608.0,558.18,Not Specified,"14 AWG 2 Core OFC - Extra Flex Speaker Cable,150m Spool","14 AWG 2 Core OFC - Extra Flex Speaker Cable,150m Spool",spool,1,21,18,,False,Liberty.csv,100
